epoch,train_loss,val_loss,val_pixel_acc,val_miou,val_dice,learning_rate,epoch_time_sec
1,1.9046544736857778,1.6335406709600377,0.6333998503508391,0.2058936957294472,0.28998267307582337,0.0001,59.8142728805542
2,1.6117148349797203,1.4396976285510592,0.6842657018590856,0.22752670045076145,0.309765814889039,0.0001,58.99081301689148
3,1.473043454161417,1.3644498772091336,0.6955986588089554,0.22757957530233625,0.30727313812694906,0.0001,59.24087357521057
4,1.3710141512317966,1.2512886153327094,0.7201717800564236,0.24854719642354714,0.32876897972385655,0.0001,58.99526596069336
5,1.302764646450862,1.2129928915588943,0.707734454119647,0.24172865191885268,0.3211663411467771,0.0001,59.44053244590759
6,1.2376663676585666,1.1259931573161372,0.7271120707194011,0.2523462447996101,0.3302355683627086,0.0001,59.73797655105591
7,1.1566517782541677,1.0475061655044555,0.7343907956723814,0.2565773837631684,0.3342767573996034,0.0001,58.606061697006226
8,1.1184922264024237,1.0181368350982667,0.7493064315230759,0.26032500864116537,0.3366552777791134,0.0001,60.10336184501648
9,1.0619125547915629,1.0634854263729518,0.6968536659523293,0.24000668542827416,0.3203406725667559,0.0001,60.46931529045105
10,1.0141709346418843,0.8920631876698246,0.7696136192039207,0.27283935292489414,0.3475515743375515,0.0001,59.964768171310425
