epoch,train_loss,val_loss,val_pixel_acc,val_miou,val_dice,learning_rate,epoch_time_sec
1,1.8774516260376153,1.6914658555278073,0.6192600391529225,0.19852962535706373,0.2855759878998313,0.0001,42.615001916885376
2,1.5676457336813419,1.3338194485063906,0.7086671899866175,0.2389646850533899,0.31965031025909607,0.0001,43.097123861312866
3,1.4278831148808326,1.3429447589097199,0.7014606334544994,0.23417083923270465,0.3137162069607796,0.0001,42.250596046447754
4,1.3169170227116855,1.2572491751776802,0.7073882208930121,0.2475631684645793,0.3294136615795156,0.0001,41.980037689208984
5,1.2614132570614716,1.154825456937154,0.7334957829228154,0.25548597522024236,0.3342780504255477,0.0001,42.39590668678284
6,1.1852617968587897,1.1012075344721477,0.733235592312283,0.25552951139293756,0.33356133273746524,0.0001,42.90536546707153
7,1.1432222461039696,1.040394205517239,0.7431273001211661,0.2576936998227408,0.3346979212219215,0.0001,42.515963554382324
8,1.111798682333966,0.9996441258324518,0.7523207487883391,0.2632071852258455,0.33950906082363197,0.0001,42.28758454322815
9,1.0364649378399926,1.05917309390174,0.7076505025227865,0.24610778091841384,0.32602779481092947,0.0001,42.5338773727417
10,0.9877961728093806,0.9309450017081367,0.7578731960720486,0.2684328219629798,0.34420355106880807,0.0001,42.23256278038025
