epoch,train_loss,val_loss,val_pixel_acc,val_miou,val_dice,learning_rate,epoch_time_sec
1,0.8545184729008526,0.8452396851115757,0.6947125837537977,0.23614994521479557,0.31941431368989986,0.0001,190.1615560054779
2,0.7937811333002929,0.8150013094478183,0.6886030154758029,0.25078802402412775,0.34229496251056185,0.0001,190.76823115348816
3,0.7585213305628423,0.7790610565079583,0.7165512932671441,0.27794671951275157,0.3680093445257297,0.0001,188.47095608711243
4,0.7246942548603335,0.7688918092515733,0.7330546569824219,0.28362782035390055,0.37192070566400937,0.0001,190.08376550674438
5,0.7027267934129312,0.7490697871314155,0.7391253492567275,0.29865552294372466,0.39703505890303736,0.0001,186.72074508666992
6,0.6772049946355985,0.7390903933842977,0.7678165520562066,0.3256102287696205,0.4320118910188575,0.0001,188.66709423065186
7,0.6443281152256632,0.6993727249569363,0.7870423465304904,0.40562181839432165,0.5373937639000769,0.0001,188.286235332489
8,0.6039598004215729,0.6815523653560215,0.7946600850423177,0.40296597876152596,0.5377840508262985,0.0001,188.47844815254211
9,0.5712954137564531,0.6636095386081272,0.7844867791069878,0.43895217257651015,0.5758461272498976,0.0001,187.21987676620483
10,0.5567851279433623,0.6505337693956164,0.7888640848795573,0.44260335239746784,0.5799763503830692,0.0001,187.51143431663513
11,0.532927018218387,0.6354429743025038,0.8111395517985026,0.46113385647256616,0.598199331835969,0.0001,188.70804619789124
12,0.5223928745230176,0.6158202828301323,0.8189065212673611,0.4856713213329379,0.6204571990784647,0.0001,189.93412804603577
13,0.5092536306711216,0.6080698802736071,0.8268014611138238,0.4933814712864926,0.6262396310748604,0.0001,192.37805151939392
14,0.4926528344517348,0.6114146696196662,0.8256153106689453,0.4798925126728282,0.6132960150167205,0.0001,190.0924015045166
15,0.4971758344181681,0.6181658983230591,0.8097313944498697,0.4747324405993408,0.6097669396486113,0.0001,190.79495429992676
16,0.4894846754915574,0.6198700465096367,0.8118115573459201,0.4515984362377784,0.5895474549576984,0.0001,190.16275429725647
17,0.47968627466049985,0.6071178091896905,0.815763422648112,0.4877668786201735,0.6228039905613575,0.0001,189.08028841018677
18,0.476953683014972,0.5943473842408922,0.8346428341335721,0.5167502226637404,0.6469257649899501,0.0001,190.0856432914734
19,0.47843109208407286,0.6015105613072713,0.8241485850016276,0.4906864010111155,0.6218746266033945,0.0001,190.87295031547546
20,0.4715576531565313,0.5928442695405748,0.8322387017144097,0.5126506740415719,0.6441657346981857,0.0001,189.40207767486572
21,0.4592009619445537,0.591997311645084,0.8268872239854601,0.5002915632343583,0.63264802732109,0.0001,186.88004732131958
22,0.4614767260204962,0.5815452231301201,0.8319773440890842,0.5260733728570359,0.6546222041033536,0.0001,188.35447454452515
23,0.46009448387218593,0.585536872016059,0.8416784244113499,0.5319081476030737,0.6612936959945497,0.0001,189.04980516433716
24,0.4479474526375635,0.5751688416798909,0.8384721204969618,0.5317950851443524,0.6612094464292378,0.0001,191.19231581687927
25,0.44871848322528457,0.5831489295429654,0.8308140394422743,0.5142324517281329,0.6435976003602845,0.0001,189.9983561038971
26,0.44784610844813416,0.5826260667377048,0.83714353773329,0.5267862290668522,0.6565549765116312,0.0001,188.86591958999634
27,0.45136115588118875,0.5812117383215163,0.8405190870496961,0.5285387253770908,0.6582254469996364,0.0001,188.96854734420776
28,0.4340828255798577,0.5602906934420268,0.8509071773952908,0.5611772786620703,0.68417702192133,0.0001,190.41293478012085
29,0.41678744282276986,0.5708236996332804,0.8446356879340278,0.5514960585151233,0.6766865768350134,0.0001,189.6123583316803
30,0.42593489815207086,0.5642515622244941,0.8475385962592231,0.549295616142474,0.6732527233986316,0.0001,189.91469192504883
