epoch,train_loss,val_loss,val_pixel_acc,val_miou,val_dice,learning_rate,epoch_time_sec
1,2.8099752331440775,2.4899331922884342,0.6387967710141782,0.20998697981365838,0.29433335054062715,0.0001,59.76925039291382
2,2.476850826800833,2.269913920649776,0.685528818766276,0.23009710628638386,0.31239241276680907,0.0001,58.65678834915161
3,2.3138780940762844,2.2079107849686235,0.6861037360297308,0.22475396562396915,0.30476056456660655,0.0001,59.74042272567749
4,2.199973598088183,2.1015745092321327,0.7071056789822049,0.24329491832095695,0.32500726043860667,0.0001,59.87536644935608
5,2.1161015215426615,2.046700542944449,0.7105867173936632,0.24357578769364618,0.32266312233340966,0.0001,60.05418801307678
6,2.051911383247816,1.9147609657711453,0.7238625137894242,0.2518396508137467,0.3300775507042179,0.0001,58.75817108154297
7,1.9664794313990217,1.8548684190820766,0.725902670401114,0.2555220374893437,0.33428266789406874,0.0001,58.32005763053894
8,1.9138641572163781,1.8101617760128446,0.7435258935998987,0.26149517032821396,0.33841960884560696,0.0001,60.25933003425598
9,1.8589909098715485,1.8909096841458921,0.6750884444625289,0.23150729633149406,0.31214826535359563,0.0001,59.950507402420044
10,1.7924243065831842,1.6765010639473243,0.7660877934208623,0.27033562744949385,0.3456642951955118,0.0001,58.177037715911865
