epoch,train_loss,val_loss,val_pixel_acc,val_miou,val_dice,learning_rate,epoch_time_sec
1,1.8777099393531853,1.680111343772323,0.6220323068124277,0.20344473160483334,0.2918180468778166,0.0001,40.335047245025635
2,1.5670320326957086,1.322784325811598,0.712965562608507,0.24110803606574932,0.32170942744798303,0.0001,40.20237946510315
3,1.4255214637751943,1.334006631815875,0.7030346340603298,0.23587125596870528,0.315428468262888,0.0001,40.185346841812134
4,1.3174945889664578,1.2663250419828627,0.6992413556134259,0.24407479418846548,0.32623096753246444,0.0001,39.869736194610596
5,1.2632146991152686,1.151251784077397,0.7420835706922743,0.2590529044717318,0.3370324123357054,0.0001,40.35286355018616
6,1.178031611662814,1.0737623700389156,0.7428112736454716,0.2596222351115205,0.3371749489247434,0.0001,40.92282223701477
7,1.1384241922347704,1.0716207804503264,0.7236805103443287,0.24567109646948224,0.3236276786260264,0.0001,40.20471143722534
8,1.1052764029205533,0.995549734433492,0.7562905488190828,0.2655418141998676,0.3418900761172891,0.0001,40.630451679229736
9,1.0258597598064854,1.015614014201694,0.7244838290744358,0.2548295062243534,0.3337757571171169,0.0001,40.25440073013306
10,0.9778767614937269,0.9174972631313183,0.7613347371419271,0.27089213296986847,0.34676272142449427,0.0001,40.68093228340149
