epoch,train_loss,val_loss,val_pixel_acc,val_miou,val_dice,learning_rate,epoch_time_sec
1,0.8942796995403034,0.87274703140612,0.5103870815700955,0.17392305478868256,0.2560205516407224,0.0001,60.01957941055298
2,0.8543850055467724,0.8544413345831412,0.6682143599898727,0.22447587904672944,0.3080436955832574,0.0001,58.494683265686035
3,0.8278956442176607,0.8307560920715332,0.6624951397931135,0.21967354523245844,0.3016556814168709,0.0001,58.814146280288696
4,0.8107553807196937,0.8165215103714555,0.6548641628689236,0.2316140443840989,0.321411480221898,0.0001,59.84978437423706
5,0.7959324003091861,0.8042418541731657,0.6514792265715422,0.23815412942204062,0.33067349784858313,0.0001,58.44998264312744
6,0.7888077460315431,0.7847757701520567,0.6553900259512442,0.2500421886735828,0.34776626919205017,0.0001,58.93194007873535
7,0.7742558004674405,0.7783101143660369,0.6583580017089844,0.2648048698936765,0.36831246919896077,0.0001,58.49939441680908
8,0.7646173647589827,0.7618610867747554,0.7156858656141493,0.2933994511964072,0.39304944044807877,0.0001,59.45884656906128
9,0.7574043315222302,0.765604747666253,0.6344254670319733,0.2535971733300831,0.35410966445562553,0.0001,59.518492221832275
10,0.7391215356337831,0.7524487830974438,0.6971150433575666,0.2701494772808703,0.370636907109987,0.0001,59.59760928153992
