epoch,train_loss,val_loss,val_pixel_acc,val_miou,val_dice,learning_rate,epoch_time_sec
1,1.9885689568024034,1.9954023255242241,0.5215094672309027,0.1499978593501367,0.22317420181724565,0.0001,40.128673791885376
2,1.6965464780292114,1.5336619703857988,0.6628950330946181,0.21536072399240186,0.298811273051918,0.0001,39.30245327949524
3,1.5296105600669807,1.4434613589887266,0.6830312093098958,0.22760325460544006,0.30956378685819697,0.0001,39.49847602844238
4,1.4348701692893928,1.391502152548896,0.6995580602575231,0.2447485348790747,0.32751650683891537,0.0001,39.150975704193115
5,1.3985004634284532,1.3975120332505968,0.6677163583260995,0.23240093912233614,0.3163587750393851,0.0001,39.88130712509155
6,1.3539127328929945,1.2648730092578464,0.715723560474537,0.2540076953719217,0.33650192244360516,0.0001,40.18968868255615
7,1.2781994106037238,1.2426444574638649,0.7176615397135416,0.2555044209630516,0.33731748173531406,0.0001,39.808836460113525
8,1.2499640830394578,1.2011064653043393,0.7248092086226852,0.26133926921562173,0.3420739156172246,0.0001,39.74180603027344
9,1.1958118297211293,1.1391799555884468,0.7323732729311343,0.25385634046660066,0.33215990196187606,0.0001,39.928102016448975
10,1.1640814396856012,1.1084077923386186,0.7332116021050348,0.2632434713733566,0.3444968276610999,0.0001,39.58911061286926
