epoch,train_loss,val_loss,val_pixel_acc,val_miou,val_dice,learning_rate,epoch_time_sec
1,1.6158690535168725,1.4220177200105455,0.6112613254123264,0.18739862075614058,0.2662729241612972,0.001,38.83684158325195
2,1.2305845746267199,1.1511633113578514,0.648641515661169,0.2030693088733881,0.28304922935992,0.001,39.08248734474182
3,1.0153360297993754,1.0025111843038488,0.668950511791088,0.2108784507180678,0.28677627498903435,0.001,39.427316427230835
4,0.906525973359652,0.8625226064964577,0.7294873272931134,0.248337901511758,0.3274093819825259,0.001,39.5412220954895
5,0.8808839227531028,0.9019823127322727,0.6773075810185185,0.2147830041030893,0.2953883832203105,0.001,39.576810359954834
6,0.8488168821048516,0.863989860923202,0.7049975359881365,0.24411212037645952,0.32440813801342333,0.001,39.59467935562134
7,0.7995107454736018,0.7796021284880461,0.74794921875,0.25917985555871115,0.33638512852736835,0.001,39.51889204978943
8,0.7921786974539107,0.8064041464417069,0.7317379421657986,0.2515242769848296,0.3304641753811324,0.001,39.302504539489746
9,0.7719715654712351,0.8455189612176683,0.6933138246889468,0.24213359661368608,0.3236090610481832,0.001,39.64257049560547
10,0.7783155427518673,0.7639668424924214,0.7491499159071181,0.25296851857547853,0.3298798708784468,0.001,39.52592182159424
